Source,Target,Weight
11,12,4.49458
11,13,0.34489
11,14,3.00923
11,15,0.44775
11,16,2.36846
11,17,1.70858
11,18,1.44354
11,19,0.10086
11,20,0.30752
11,21,0.01907
11,22,1.05549
11,23,2.53924
11,24,2.823
11,25,0.79821
11,26,0.00341
11,27,0.35527
11,28,0.13747
11,29,0.02004
11,30,0.01755
11,31,0.04131
12,1,0.02033
12,2,0.00967
12,3,0.06411
12,4,0.0281
12,5,0.01506
12,6,0.03857
12,7,0.02882
12,8,0.03192
12,9,0.11907
12,10,0.52951
12,11,0.1737
12,13,0.06157
12,14,0.10112
12,15,0.14791
12,16,0.29078
12,17,0.12354
12,18,0.08068
12,19,0.0342
12,20,0.02528
12,21,0.00693
12,22,0.03702
12,23,0.1788
12,24,0.09139
12,25,0.09553
12,26,0.00198
12,27,0.04474
12,28,0.02161
12,29,0.00966
12,30,0.00305
12,31,0.01329
13,1,0.01593
13,2,0.0115
13,3,0.06194
13,4,0.04359
13,5,0.02206
13,6,0.05504
13,7,0.04851
13,8,0.07477
13,9,0.0442
13,10,0.1826
13,11,0.29449
13,12,0.66091
13,14,2.55561
13,15,0.19362
13,16,0.72302
13,17,0.89602
13,18,0.64153
13,19,0.21912
13,20,0.20155
13,21,0.03477
13,22,1.00805
13,23,2.21159
13,24,1.18275
13,25,0.25306
13,26,0.00394
13,27,0.15385
13,28,0.05645
13,29,0.00946
13,30,0.01369
13,31,0.02344
14,1,0.00957
14,2,0.00923
14,3,0.04513
14,4,0.03046
14,5,0.02455
14,6,0.03055
14,7,0.02037
14,8,0.02444
14,9,0.05607
14,10,0.14561
14,11,0.30588
14,12,0.2066
14,13,0.13167
14,15,0.0751
14,16,0.12306
14,17,0.21032
14,18,0.33304
14,19,0.15991
14,20,0.06532
14,21,0.01957
14,22,0.03446
14,23,0.12858
14,24,0.10003
14,25,0.02761
14,26,0.00169
14,27,0.02945
14,28,0.02858
14,29,0.00659
14,30,0.00654
14,31,0.00875
15,1,0.01889
15,2,0.01721
15,3,0.2002
15,4,0.0694
15,5,0.09266
15,6,0.12838
15,7,0.24498
15,8,0.51225
15,9,0.01298
15,10,0.18956
15,11,0.07114
15,12,0.15112
15,13,0.04517
15,14,0.03382
15,16,0.29605
15,17,0.09129
15,18,0.0433
15,19,0.01718
15,20,0.01318
15,21,0.00462
15,22,0.02663
15,23,0.1229
15,24,0.03479
15,25,0.06961
15,26,0.00179
15,27,0.06769
15,28,0.06226
15,29,0.01817
15,30,0.01019
15,31,0.03683
